Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
451 ,0 ,0 ,165 ,11 ,1030 ,745 ,28 ,79 
516 ,0 ,0 ,162 ,8 ,801 ,802 ,28 ,41 
520 ,0 ,0 ,170 ,5 ,855 ,855 ,28 ,60 
528 ,0 ,0 ,185 ,7 ,920 ,720 ,28 ,57 
520 ,0 ,0 ,175 ,5 ,870 ,805 ,28 ,51 
385 ,0 ,136 ,158 ,20 ,903 ,768 ,28 ,56 
500 ,0 ,0 ,200 ,3 ,1124 ,613 ,28 ,44 
450 ,50 ,0 ,200 ,3 ,1124 ,613 ,28 ,39 
397 ,17 ,158 ,167 ,21 ,967 ,633 ,28 ,56 
333 ,18 ,163 ,167 ,18 ,996 ,652 ,28 ,47 
334 ,18 ,158 ,189 ,15 ,967 ,633 ,28 ,44 
405 ,0 ,0 ,175 ,0 ,1120 ,695 ,28 ,52 
200 ,200 ,0 ,190 ,0 ,1145 ,660 ,28 ,49 
516 ,0 ,0 ,162 ,8 ,801 ,802 ,28 ,41 
145 ,116 ,119 ,184 ,6 ,833 ,880 ,28 ,29 
160 ,128 ,122 ,182 ,6 ,824 ,879 ,28 ,39 
234 ,156 ,0 ,189 ,6 ,981 ,760 ,28 ,39 
250 ,180 ,95 ,159 ,10 ,860 ,800 ,28 ,68 
475 ,0 ,0 ,162 ,10 ,1044 ,662 ,28 ,59 
285 ,190 ,0 ,163 ,8 ,1031 ,685 ,28 ,54 
356 ,119 ,0 ,160 ,9 ,1061 ,657 ,28 ,59 
275 ,180 ,120 ,162 ,10 ,830 ,765 ,28 ,76 
500 ,0 ,0 ,151 ,9 ,1033 ,655 ,28 ,70 
165 ,0 ,144 ,164 ,0 ,1006 ,901 ,3 ,14 
165 ,129 ,132 ,175 ,8 ,1006 ,747 ,3 ,19 
178 ,130 ,119 ,180 ,4 ,1007 ,747 ,3 ,21 
167 ,130 ,129 ,176 ,8 ,1006 ,747 ,3 ,15 
172 ,14 ,172 ,157 ,4 ,1006 ,856 ,3 ,21 
174 ,50 ,174 ,165 ,7 ,1006 ,794 ,3 ,23 
167 ,75 ,167 ,164 ,8 ,1007 ,770 ,3 ,16 
174 ,93 ,160 ,172 ,10 ,1007 ,747 ,3 ,16 
190 ,0 ,125 ,167 ,10 ,1079 ,799 ,3 ,13 
250 ,0 ,96 ,192 ,5 ,949 ,857 ,3 ,9 
214 ,0 ,174 ,159 ,12 ,1044 ,772 ,3 ,16 
195 ,0 ,101 ,170 ,8 ,998 ,902 ,3 ,12 
251 ,0 ,118 ,193 ,6 ,1044 ,754 ,3 ,12 
165 ,0 ,144 ,164 ,0 ,1006 ,901 ,14 ,17 
165 ,129 ,132 ,175 ,8 ,1006 ,747 ,14 ,33 
178 ,130 ,119 ,180 ,4 ,1007 ,747 ,14 ,34 
167 ,130 ,129 ,176 ,8 ,1006 ,747 ,14 ,32 
172 ,14 ,172 ,157 ,4 ,1006 ,856 ,14 ,30 
174 ,50 ,174 ,165 ,7 ,1006 ,794 ,14 ,33 
167 ,75 ,167 ,164 ,8 ,1007 ,770 ,14 ,33 
174 ,93 ,160 ,172 ,10 ,1007 ,747 ,14 ,30 
190 ,0 ,125 ,167 ,10 ,1079 ,799 ,14 ,19 
250 ,0 ,96 ,192 ,5 ,949 ,857 ,14 ,25 
214 ,0 ,174 ,159 ,12 ,1044 ,772 ,14 ,30 
195 ,0 ,101 ,170 ,8 ,998 ,902 ,14 ,24 
251 ,0 ,118 ,193 ,6 ,1044 ,754 ,14 ,21 
165 ,0 ,144 ,164 ,0 ,1006 ,901 ,28 ,26 
165 ,129 ,132 ,175 ,8 ,1006 ,747 ,28 ,46 
178 ,130 ,119 ,180 ,4 ,1007 ,747 ,28 ,39 
167 ,130 ,129 ,176 ,8 ,1006 ,747 ,28 ,41 
172 ,14 ,172 ,157 ,4 ,1006 ,856 ,28 ,34 
174 ,50 ,174 ,165 ,7 ,1006 ,794 ,28 ,38 
167 ,75 ,167 ,164 ,8 ,1007 ,770 ,28 ,41 
174 ,93 ,160 ,172 ,10 ,1007 ,747 ,28 ,38 
190 ,0 ,125 ,167 ,10 ,1079 ,799 ,28 ,25 
250 ,0 ,96 ,192 ,5 ,949 ,857 ,28 ,27 
214 ,0 ,174 ,159 ,12 ,1044 ,772 ,28 ,45 
195 ,0 ,101 ,170 ,8 ,998 ,902 ,28 ,37 
251 ,0 ,118 ,193 ,6 ,1044 ,754 ,28 ,33 
165 ,0 ,144 ,164 ,0 ,1006 ,901 ,56 ,37 
165 ,129 ,132 ,175 ,8 ,1006 ,747 ,56 ,54 
178 ,130 ,119 ,180 ,4 ,1007 ,747 ,56 ,49 
167 ,130 ,129 ,176 ,8 ,1006 ,747 ,56 ,52 
172 ,14 ,172 ,157 ,4 ,1006 ,856 ,56 ,36 
174 ,50 ,174 ,165 ,7 ,1006 ,794 ,56 ,54 
167 ,75 ,167 ,164 ,8 ,1007 ,770 ,56 ,54 
174 ,93 ,160 ,172 ,10 ,1007 ,747 ,56 ,49 
190 ,0 ,125 ,167 ,10 ,1079 ,799 ,56 ,32 
250 ,0 ,96 ,192 ,5 ,949 ,857 ,56 ,40 
214 ,0 ,174 ,159 ,12 ,1044 ,772 ,56 ,51 
195 ,0 ,101 ,170 ,8 ,998 ,902 ,56 ,43 
251 ,0 ,118 ,193 ,6 ,1044 ,754 ,56 ,39 
165 ,0 ,144 ,164 ,0 ,1006 ,901 ,100 ,38 
165 ,129 ,132 ,175 ,8 ,1006 ,747 ,100 ,55 
178 ,130 ,119 ,180 ,4 ,1007 ,747 ,100 ,50 
167 ,130 ,129 ,176 ,8 ,1006 ,747 ,100 ,54 
172 ,14 ,172 ,157 ,4 ,1006 ,856 ,100 ,38 
174 ,50 ,174 ,165 ,7 ,1006 ,794 ,100 ,56 
167 ,75 ,167 ,164 ,8 ,1007 ,770 ,100 ,57 
174 ,93 ,160 ,172 ,10 ,1007 ,747 ,100 ,51 
190 ,0 ,125 ,167 ,10 ,1079 ,799 ,100 ,34 
250 ,0 ,96 ,192 ,5 ,949 ,857 ,100 ,41 
214 ,0 ,174 ,159 ,12 ,1044 ,772 ,100 ,53 
195 ,0 ,101 ,170 ,8 ,998 ,902 ,100 ,44 
251 ,0 ,118 ,193 ,6 ,1044 ,754 ,100 ,40 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,28 ,57 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,28 ,44 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,28 ,51 
446 ,24 ,79 ,162 ,10 ,967 ,712 ,28 ,53 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,3 ,35 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,3 ,25 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,3 ,23 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,7 ,52 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,7 ,38 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,7 ,39 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,56 ,61 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,56 ,56 
446 ,24 ,79 ,162 ,12 ,967 ,712 ,56 ,55 
446 ,24 ,79 ,162 ,10 ,967 ,712 ,56 ,55 
387 ,20 ,94 ,157 ,14 ,938 ,845 ,28 ,50 
387 ,20 ,94 ,157 ,14 ,938 ,845 ,28 ,47 
387 ,20 ,94 ,157 ,12 ,938 ,845 ,28 ,47 
387 ,20 ,94 ,157 ,14 ,938 ,845 ,3 ,23 
387 ,20 ,94 ,157 ,14 ,938 ,845 ,3 ,26 
387 ,20 ,94 ,157 ,12 ,938 ,845 ,3 ,35 
387 ,20 ,94 ,157 ,14 ,938 ,845 ,7 ,37 
387 ,20 ,94 ,157 ,14 ,938 ,845 ,7 ,46 
387 ,20 ,94 ,157 ,12 ,938 ,845 ,7 ,42 
387 ,20 ,94 ,157 ,14 ,938 ,845 ,56 ,56 
387 ,20 ,94 ,157 ,14 ,938 ,845 ,56 ,48 
387 ,20 ,94 ,157 ,12 ,938 ,845 ,56 ,62 
355 ,19 ,97 ,145 ,13 ,967 ,871 ,28 ,44 
355 ,19 ,97 ,145 ,12 ,967 ,871 ,28 ,56 
491 ,26 ,123 ,210 ,4 ,882 ,699 ,28 ,56 
491 ,26 ,123 ,201 ,4 ,822 ,699 ,28 ,58 
491 ,26 ,123 ,210 ,4 ,882 ,699 ,3 ,26 
491 ,26 ,123 ,210 ,4 ,882 ,699 ,7 ,34 
491 ,26 ,123 ,210 ,4 ,882 ,699 ,56 ,60 
491 ,26 ,123 ,201 ,4 ,822 ,699 ,3 ,30 
491 ,26 ,123 ,201 ,4 ,822 ,699 ,7 ,38 
491 ,26 ,123 ,201 ,4 ,822 ,699 ,56 ,62 
424 ,22 ,132 ,178 ,9 ,822 ,750 ,28 ,62 
424 ,22 ,132 ,178 ,9 ,882 ,750 ,3 ,32 
424 ,22 ,132 ,168 ,9 ,822 ,750 ,28 ,72 
424 ,22 ,132 ,178 ,9 ,822 ,750 ,7 ,39 
424 ,22 ,132 ,178 ,9 ,822 ,750 ,56 ,66 
424 ,22 ,132 ,168 ,9 ,822 ,750 ,3 ,32 
424 ,22 ,132 ,168 ,9 ,822 ,750 ,7 ,40 
424 ,22 ,132 ,168 ,9 ,822 ,750 ,56 ,74 
202 ,11 ,141 ,206 ,2 ,942 ,801 ,28 ,22 
202 ,11 ,141 ,206 ,2 ,942 ,801 ,3 ,10 
202 ,11 ,141 ,206 ,2 ,942 ,801 ,7 ,15 
202 ,11 ,141 ,206 ,2 ,942 ,801 ,56 ,23 
284 ,15 ,141 ,179 ,6 ,842 ,801 ,28 ,44 
284 ,15 ,141 ,179 ,6 ,842 ,801 ,3 ,13 
284 ,15 ,141 ,179 ,6 ,842 ,801 ,7 ,24 
284 ,15 ,141 ,179 ,6 ,842 ,801 ,56 ,45 
359 ,19 ,141 ,154 ,11 ,942 ,801 ,28 ,63 
359 ,19 ,141 ,154 ,11 ,942 ,801 ,28 ,60 
359 ,19 ,141 ,154 ,11 ,942 ,801 ,3 ,25 
359 ,19 ,141 ,154 ,11 ,942 ,801 ,3 ,24 
359 ,19 ,141 ,154 ,11 ,942 ,801 ,7 ,36 
359 ,19 ,141 ,154 ,11 ,942 ,801 ,7 ,39 
359 ,19 ,141 ,154 ,11 ,942 ,801 ,56 ,69 
359 ,19 ,141 ,154 ,11 ,942 ,801 ,56 ,67 
436 ,0 ,0 ,218 ,0 ,838 ,720 ,28 ,24 
289 ,0 ,0 ,192 ,0 ,913 ,895 ,90 ,32 
289 ,0 ,0 ,192 ,0 ,913 ,895 ,3 ,12 
393 ,0 ,0 ,192 ,0 ,941 ,786 ,3 ,19 
393 ,0 ,0 ,192 ,0 ,941 ,786 ,90 ,49 
393 ,0 ,0 ,192 ,0 ,941 ,786 ,28 ,40 
480 ,0 ,0 ,192 ,0 ,936 ,712 ,28 ,44 
480 ,0 ,0 ,192 ,0 ,936 ,712 ,7 ,35 
480 ,0 ,0 ,192 ,0 ,936 ,712 ,90 ,54 
480 ,0 ,0 ,192 ,0 ,936 ,712 ,3 ,24 
333 ,0 ,0 ,192 ,0 ,931 ,843 ,3 ,16 
255 ,0 ,0 ,192 ,0 ,890 ,945 ,90 ,22 
255 ,0 ,0 ,192 ,0 ,890 ,945 ,7 ,10 
289 ,0 ,0 ,192 ,0 ,913 ,895 ,7 ,15 
255 ,0 ,0 ,192 ,0 ,890 ,945 ,28 ,19 
333 ,0 ,0 ,192 ,0 ,931 ,843 ,28 ,32 
333 ,0 ,0 ,192 ,0 ,931 ,843 ,7 ,23 
289 ,0 ,0 ,192 ,0 ,913 ,895 ,28 ,26 
333 ,0 ,0 ,192 ,0 ,931 ,843 ,90 ,42 
393 ,0 ,0 ,192 ,0 ,941 ,786 ,7 ,28 
255 ,0 ,0 ,192 ,0 ,890 ,945 ,3 ,8 
159 ,238 ,0 ,186 ,0 ,1041 ,734 ,7 ,10 
240 ,359 ,0 ,186 ,0 ,942 ,664 ,7 ,25 
238 ,159 ,0 ,186 ,0 ,1041 ,734 ,7 ,16 
182 ,273 ,0 ,186 ,0 ,1012 ,714 ,28 ,28 
194 ,290 ,0 ,186 ,0 ,998 ,704 ,28 ,33 
256 ,170 ,0 ,186 ,0 ,1027 ,724 ,7 ,17 
273 ,182 ,0 ,186 ,0 ,1012 ,714 ,7 ,20 
240 ,359 ,0 ,186 ,0 ,942 ,664 ,28 ,39 
221 ,147 ,0 ,186 ,0 ,1055 ,744 ,28 ,26 
397 ,0 ,0 ,186 ,0 ,1041 ,734 ,28 ,33 
383 ,0 ,0 ,186 ,0 ,1048 ,739 ,7 ,24 
211 ,316 ,0 ,186 ,0 ,977 ,689 ,7 ,22 
159 ,238 ,0 ,186 ,0 ,1041 ,734 ,28 ,21 
296 ,0 ,0 ,186 ,0 ,1091 ,769 ,7 ,15 
256 ,170 ,0 ,186 ,0 ,1027 ,724 ,28 ,32 
204 ,136 ,0 ,186 ,0 ,1076 ,759 ,7 ,12 
397 ,0 ,0 ,186 ,0 ,1041 ,734 ,7 ,25 
381 ,0 ,0 ,186 ,0 ,1105 ,784 ,28 ,23 
296 ,0 ,0 ,186 ,0 ,1091 ,769 ,28 ,25 
228 ,342 ,0 ,186 ,0 ,956 ,674 ,28 ,40 
221 ,147 ,0 ,186 ,0 ,1055 ,744 ,7 ,13 
316 ,211 ,0 ,186 ,0 ,977 ,689 ,28 ,39 
136 ,204 ,0 ,186 ,0 ,1076 ,759 ,7 ,8 
238 ,0 ,0 ,186 ,0 ,1119 ,789 ,28 ,18 
339 ,0 ,0 ,186 ,0 ,1069 ,754 ,7 ,21 
136 ,204 ,0 ,186 ,0 ,1076 ,759 ,28 ,18 
194 ,290 ,0 ,186 ,0 ,998 ,704 ,7 ,17 
204 ,136 ,0 ,186 ,0 ,1076 ,759 ,28 ,23 
290 ,194 ,0 ,186 ,0 ,998 ,704 ,7 ,22 
182 ,273 ,0 ,186 ,0 ,1012 ,714 ,7 ,12 
170 ,156 ,0 ,186 ,0 ,1027 ,724 ,28 ,26 
211 ,316 ,0 ,186 ,0 ,977 ,689 ,28 ,38 
228 ,342 ,0 ,186 ,0 ,956 ,674 ,7 ,22 
290 ,194 ,0 ,186 ,0 ,998 ,704 ,28 ,33 
381 ,0 ,0 ,186 ,0 ,1105 ,784 ,7 ,15 
238 ,159 ,0 ,186 ,0 ,1041 ,734 ,28 ,27 
186 ,124 ,0 ,186 ,0 ,1083 ,764 ,7 ,8 
339 ,0 ,0 ,186 ,0 ,1069 ,754 ,28 ,32 
238 ,0 ,0 ,186 ,0 ,1119 ,789 ,7 ,10 
253 ,0 ,0 ,186 ,0 ,1112 ,784 ,28 ,20 
383 ,0 ,0 ,186 ,0 ,1048 ,739 ,28 ,37 
253 ,0 ,0 ,186 ,0 ,1112 ,784 ,7 ,12 
316 ,211 ,0 ,186 ,0 ,977 ,689 ,7 ,24 
186 ,124 ,0 ,186 ,0 ,1083 ,764 ,28 ,18 
170 ,156 ,0 ,186 ,0 ,1027 ,724 ,7 ,11 
273 ,182 ,0 ,186 ,0 ,1012 ,714 ,28 ,31 
339 ,0 ,0 ,197 ,0 ,968 ,781 ,3 ,13 
339 ,0 ,0 ,197 ,0 ,968 ,781 ,7 ,21 
339 ,0 ,0 ,197 ,0 ,968 ,781 ,14 ,27 
339 ,0 ,0 ,197 ,0 ,968 ,781 ,28 ,32 
339 ,0 ,0 ,197 ,0 ,968 ,781 ,90 ,35 
339 ,0 ,0 ,197 ,0 ,968 ,781 ,180 ,36 
339 ,0 ,0 ,197 ,0 ,968 ,781 ,365 ,39 
236 ,0 ,0 ,194 ,0 ,968 ,885 ,3 ,7 
236 ,0 ,0 ,194 ,0 ,968 ,885 ,14 ,13 
236 ,0 ,0 ,194 ,0 ,968 ,885 ,28 ,18 
236 ,0 ,0 ,194 ,0 ,968 ,885 ,90 ,22 
236 ,0 ,0 ,193 ,0 ,968 ,885 ,180 ,24 
236 ,0 ,0 ,193 ,0 ,968 ,885 ,365 ,25 
277 ,0 ,0 ,191 ,0 ,968 ,856 ,14 ,21 
277 ,0 ,0 ,191 ,0 ,968 ,856 ,28 ,26 
277 ,0 ,0 ,191 ,0 ,968 ,856 ,3 ,11 
277 ,0 ,0 ,191 ,0 ,968 ,856 ,90 ,31 
277 ,0 ,0 ,191 ,0 ,968 ,856 ,180 ,32 
277 ,0 ,0 ,191 ,0 ,968 ,856 ,360 ,34 
254 ,0 ,0 ,198 ,0 ,968 ,863 ,3 ,9 
254 ,0 ,0 ,198 ,0 ,968 ,863 ,90 ,27 
254 ,0 ,0 ,198 ,0 ,968 ,863 ,180 ,28 
254 ,0 ,0 ,198 ,0 ,968 ,863 ,365 ,30 
307 ,0 ,0 ,193 ,0 ,968 ,812 ,180 ,35 
307 ,0 ,0 ,193 ,0 ,968 ,812 ,365 ,36 
307 ,0 ,0 ,193 ,0 ,968 ,812 ,3 ,13 
307 ,0 ,0 ,193 ,0 ,968 ,812 ,28 ,28 
307 ,0 ,0 ,193 ,0 ,968 ,812 ,90 ,33 
236 ,0 ,0 ,193 ,0 ,968 ,885 ,7 ,10 
200 ,0 ,0 ,180 ,0 ,1125 ,845 ,7 ,8 
200 ,0 ,0 ,180 ,0 ,1125 ,845 ,28 ,12 
225 ,0 ,0 ,181 ,0 ,1113 ,833 ,7 ,11 
225 ,0 ,0 ,181 ,0 ,1113 ,833 ,28 ,17 
325 ,0 ,0 ,184 ,0 ,1063 ,783 ,7 ,18 
325 ,0 ,0 ,184 ,0 ,1063 ,783 ,28 ,31 
275 ,0 ,0 ,183 ,0 ,1088 ,808 ,7 ,14 
275 ,0 ,0 ,183 ,0 ,1088 ,808 ,28 ,25 
300 ,0 ,0 ,184 ,0 ,1075 ,795 ,7 ,16 
300 ,0 ,0 ,184 ,0 ,1075 ,795 ,28 ,27 
375 ,0 ,0 ,186 ,0 ,1038 ,758 ,7 ,26 
375 ,0 ,0 ,186 ,0 ,1038 ,758 ,28 ,38 
400 ,0 ,0 ,187 ,0 ,1025 ,745 ,28 ,44 
400 ,0 ,0 ,187 ,0 ,1025 ,745 ,7 ,30 
250 ,0 ,0 ,182 ,0 ,1100 ,820 ,7 ,13 
250 ,0 ,0 ,182 ,0 ,1100 ,820 ,28 ,21 
350 ,0 ,0 ,186 ,0 ,1050 ,770 ,7 ,20 
350 ,0 ,0 ,186 ,0 ,1050 ,770 ,28 ,34 
204 ,305 ,0 ,204 ,0 ,963 ,630 ,7 ,20 
250 ,167 ,0 ,204 ,0 ,978 ,694 ,90 ,48 
157 ,236 ,0 ,192 ,0 ,935 ,781 ,90 ,43 
141 ,212 ,0 ,204 ,0 ,972 ,749 ,28 ,30 
167 ,250 ,0 ,204 ,0 ,976 ,693 ,3 ,7 
123 ,184 ,0 ,204 ,0 ,958 ,800 ,90 ,33 
184 ,123 ,0 ,204 ,0 ,959 ,800 ,3 ,5 
102 ,153 ,0 ,192 ,0 ,887 ,942 ,3 ,5 
102 ,153 ,0 ,192 ,0 ,887 ,942 ,90 ,26 
123 ,184 ,0 ,204 ,0 ,958 ,800 ,28 ,24 
167 ,250 ,0 ,204 ,0 ,976 ,693 ,28 ,34 
200 ,133 ,0 ,192 ,0 ,965 ,806 ,3 ,11 
108 ,162 ,0 ,204 ,0 ,938 ,849 ,28 ,21 
305 ,204 ,0 ,204 ,0 ,965 ,631 ,7 ,26 
108 ,162 ,0 ,204 ,0 ,938 ,849 ,90 ,29 
116 ,173 ,0 ,192 ,0 ,910 ,892 ,90 ,31 
141 ,212 ,0 ,204 ,0 ,972 ,749 ,7 ,10 
157 ,236 ,0 ,192 ,0 ,935 ,781 ,28 ,34 
133 ,200 ,0 ,192 ,0 ,927 ,839 ,28 ,28 
250 ,167 ,0 ,204 ,0 ,978 ,694 ,7 ,19 
173 ,116 ,0 ,192 ,0 ,947 ,857 ,7 ,11 
192 ,288 ,0 ,192 ,0 ,930 ,716 ,3 ,13 
192 ,288 ,0 ,192 ,0 ,930 ,716 ,28 ,39 
153 ,102 ,0 ,192 ,0 ,888 ,943 ,3 ,5 
288 ,192 ,0 ,192 ,0 ,932 ,718 ,3 ,16 
305 ,204 ,0 ,204 ,0 ,965 ,631 ,28 ,43 
236 ,157 ,0 ,192 ,0 ,973 ,749 ,7 ,20 
173 ,116 ,0 ,192 ,0 ,947 ,857 ,3 ,7 
212 ,141 ,0 ,204 ,0 ,973 ,750 ,7 ,15 
236 ,157 ,0 ,192 ,0 ,973 ,749 ,3 ,14 
184 ,123 ,0 ,204 ,0 ,959 ,800 ,90 ,33 
167 ,250 ,0 ,204 ,0 ,976 ,693 ,7 ,16 
102 ,153 ,0 ,192 ,0 ,887 ,942 ,7 ,8 
288 ,192 ,0 ,192 ,0 ,932 ,718 ,28 ,39 
212 ,141 ,0 ,204 ,0 ,973 ,750 ,28 ,33 
102 ,153 ,0 ,192 ,0 ,887 ,942 ,28 ,17 
173 ,116 ,0 ,192 ,0 ,947 ,857 ,28 ,24 
184 ,123 ,0 ,204 ,0 ,959 ,800 ,28 ,24 
133 ,200 ,0 ,192 ,0 ,927 ,839 ,90 ,37 
192 ,288 ,0 ,192 ,0 ,930 ,716 ,90 ,51 
133 ,200 ,0 ,192 ,0 ,927 ,839 ,7 ,14 
305 ,204 ,0 ,204 ,0 ,965 ,631 ,3 ,14 
236 ,157 ,0 ,192 ,0 ,973 ,749 ,90 ,48 
108 ,162 ,0 ,204 ,0 ,938 ,849 ,3 ,2 
157 ,236 ,0 ,192 ,0 ,935 ,781 ,7 ,17 
288 ,192 ,0 ,192 ,0 ,932 ,718 ,7 ,24 
212 ,141 ,0 ,204 ,0 ,973 ,750 ,3 ,7 
212 ,141 ,0 ,204 ,0 ,973 ,750 ,90 ,40 
153 ,102 ,0 ,192 ,0 ,888 ,943 ,28 ,18 
236 ,157 ,0 ,192 ,0 ,973 ,749 ,28 ,33 
116 ,173 ,0 ,192 ,0 ,910 ,892 ,28 ,22 
184 ,123 ,0 ,204 ,0 ,959 ,800 ,7 ,11 
108 ,162 ,0 ,204 ,0 ,938 ,849 ,7 ,8 
204 ,305 ,0 ,204 ,0 ,963 ,630 ,28 ,42 
204 ,305 ,0 ,204 ,0 ,963 ,630 ,3 ,10 
133 ,200 ,0 ,192 ,0 ,927 ,839 ,3 ,7 
288 ,192 ,0 ,192 ,0 ,932 ,718 ,90 ,51 
200 ,133 ,0 ,192 ,0 ,965 ,806 ,7 ,17 
200 ,133 ,0 ,192 ,0 ,965 ,806 ,28 ,30 
250 ,167 ,0 ,204 ,0 ,978 ,694 ,3 ,10 
123 ,184 ,0 ,204 ,0 ,958 ,800 ,3 ,3 
153 ,102 ,0 ,192 ,0 ,888 ,943 ,90 ,26 
200 ,133 ,0 ,192 ,0 ,965 ,806 ,90 ,43 
116 ,173 ,0 ,192 ,0 ,910 ,892 ,3 ,6 
173 ,116 ,0 ,192 ,0 ,947 ,857 ,90 ,32 
250 ,167 ,0 ,204 ,0 ,978 ,694 ,28 ,37 
305 ,204 ,0 ,204 ,0 ,965 ,631 ,90 ,55 
192 ,288 ,0 ,192 ,0 ,930 ,716 ,7 ,22 
157 ,236 ,0 ,192 ,0 ,935 ,781 ,3 ,10 
153 ,102 ,0 ,192 ,0 ,888 ,943 ,7 ,8 
141 ,212 ,0 ,204 ,0 ,972 ,749 ,90 ,40 
116 ,173 ,0 ,192 ,0 ,910 ,892 ,7 ,10 
141 ,212 ,0 ,204 ,0 ,972 ,749 ,3 ,5 
123 ,184 ,0 ,204 ,0 ,958 ,800 ,7 ,10 
167 ,250 ,0 ,204 ,0 ,976 ,693 ,90 ,44 
204 ,305 ,0 ,204 ,0 ,963 ,630 ,90 ,52 
310 ,0 ,0 ,192 ,0 ,1012 ,830 ,3 ,12 
310 ,0 ,0 ,192 ,0 ,1012 ,830 ,7 ,17 
310 ,0 ,0 ,192 ,0 ,1012 ,830 ,28 ,28 
310 ,0 ,0 ,192 ,0 ,1012 ,830 ,90 ,36 
310 ,0 ,0 ,192 ,0 ,1012 ,830 ,120 ,39 
331 ,0 ,0 ,192 ,0 ,1025 ,821 ,3 ,14 
331 ,0 ,0 ,192 ,0 ,1025 ,821 ,7 ,17 
331 ,0 ,0 ,192 ,0 ,1025 ,821 ,28 ,32 
331 ,0 ,0 ,192 ,0 ,1025 ,821 ,90 ,38 
331 ,0 ,0 ,192 ,0 ,1025 ,821 ,120 ,39 
349 ,0 ,0 ,192 ,0 ,1056 ,809 ,3 ,16 
349 ,0 ,0 ,192 ,0 ,1056 ,809 ,7 ,9 
349 ,0 ,0 ,192 ,0 ,1056 ,809 ,28 ,34 
349 ,0 ,0 ,192 ,0 ,1056 ,809 ,90 ,41 
349 ,0 ,0 ,192 ,0 ,1056 ,809 ,120 ,41 
238 ,0 ,0 ,186 ,0 ,1119 ,789 ,7 ,12 
238 ,0 ,0 ,186 ,0 ,1119 ,789 ,28 ,18 
296 ,0 ,0 ,186 ,0 ,1090 ,769 ,7 ,19 
296 ,0 ,0 ,186 ,0 ,1090 ,769 ,28 ,25 
297 ,0 ,0 ,186 ,0 ,1040 ,734 ,7 ,31 
480 ,0 ,0 ,192 ,0 ,936 ,721 ,28 ,44 
480 ,0 ,0 ,192 ,0 ,936 ,721 ,90 ,54 
397 ,0 ,0 ,186 ,0 ,1040 ,734 ,28 ,37 
281 ,0 ,0 ,186 ,0 ,1104 ,774 ,7 ,15 
281 ,0 ,0 ,185 ,0 ,1104 ,774 ,28 ,22 
500 ,0 ,0 ,200 ,0 ,1125 ,613 ,1 ,13 
500 ,0 ,0 ,200 ,0 ,1125 ,613 ,3 ,26 
500 ,0 ,0 ,200 ,0 ,1125 ,613 ,7 ,33 
500 ,0 ,0 ,200 ,0 ,1125 ,613 ,14 ,37 
500 ,0 ,0 ,200 ,0 ,1125 ,613 ,28 ,44 
540 ,0 ,0 ,173 ,0 ,1125 ,613 ,7 ,53 
540 ,0 ,0 ,173 ,0 ,1125 ,613 ,14 ,60 
540 ,0 ,0 ,173 ,0 ,1125 ,613 ,28 ,67 
540 ,0 ,0 ,173 ,0 ,1125 ,613 ,90 ,70 
540 ,0 ,0 ,173 ,0 ,1125 ,613 ,180 ,72 
540 ,0 ,0 ,173 ,0 ,1125 ,613 ,270 ,74 
350 ,0 ,0 ,203 ,0 ,974 ,775 ,7 ,18 
350 ,0 ,0 ,203 ,0 ,974 ,775 ,14 ,23 
350 ,0 ,0 ,203 ,0 ,974 ,775 ,28 ,27 
350 ,0 ,0 ,203 ,0 ,974 ,775 ,56 ,30 
350 ,0 ,0 ,203 ,0 ,974 ,775 ,90 ,31 
350 ,0 ,0 ,203 ,0 ,974 ,775 ,180 ,33 
385 ,0 ,0 ,186 ,0 ,966 ,763 ,1 ,6 
385 ,0 ,0 ,186 ,0 ,966 ,763 ,3 ,15 
385 ,0 ,0 ,186 ,0 ,966 ,763 ,7 ,23 
385 ,0 ,0 ,186 ,0 ,966 ,763 ,14 ,28 
385 ,0 ,0 ,186 ,0 ,966 ,763 ,28 ,31 
331 ,0 ,0 ,192 ,0 ,978 ,825 ,180 ,39 
331 ,0 ,0 ,192 ,0 ,978 ,825 ,360 ,41 
349 ,0 ,0 ,192 ,0 ,1047 ,806 ,3 ,15 
331 ,0 ,0 ,192 ,0 ,978 ,825 ,3 ,14 
